,Precision,Recall,F1,R-Precision,NDCG,Clicks,LongTail_Recall,LongTail_Coverage
MF-Transformer,0.32223219999999997,0.3423244200315381,0.3319745756960533,0.3379815575142617,0.33313174408153684,26.0872,0.0,0.0
MUSE,0.31960659999999996,0.31965500730688917,0.3196308018206524,0.3197356526358939,0.33380789832811714,34.8517,0.0,0.0
LARP,0.3218233999999999,0.3387786669377225,0.3300834432649265,0.34388359809582464,0.3294549703843388,22.1003,0.0,8.730117158172262e-06
PISA,0.31960659999999996,0.31965500730688917,0.3196308018206524,0.3197356526358939,0.33380789832811714,34.8517,0.0,0.0
MF-TFIDF,0.32174919999999996,0.33775343205882763,0.3295571276885779,0.339712517020184,0.3299779612890172,25.9004,0.0,0.0027718121977196933
